experiment,mode,target,signal,log_id,n_origins,rmse,axis_0_rmse,axis_1_rmse,axis_2_rmse
S0,teacher_state,D1_lp6,linear,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,9.270108798447744,1.9176571995573586,1.9973022137308405,8.84693686351779
S0,teacher_state,D1_lp6,linear,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,9.46327408905772,1.8430552004640766,2.0716291134781963,9.047931080023934
S0,teacher_state,D1_lp6,linear,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,9.376970088845292,2.022461884171769,1.9033612235988646,8.956251002884628
S0,teacher_state,D1_lp6,angular,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,10.03193528221039,6.330920990375295,7.495782871683922,2.0910294260610254
S0,teacher_state,D1_lp6,angular,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,9.073087159999394,5.582131102096817,6.859441878085373,2.0270126030979365
S0,teacher_state,D1_lp6,angular,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,9.39904647526319,5.869000687121393,7.06413491133354,1.9987254771990806
S0,teacher_state,D1_lp6,angular,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,9.374554391542253,6.118986888491879,6.722110371633066,2.29205184278885
S0,teacher_state,D1_lp6,angular,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,9.726180486925935,6.530031208771895,6.940689056732885,1.945280106944055
S0,teacher_state,D1_lp8,linear,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,9.957760338850122,2.193557894124723,2.399849592637276,9.412014484892078
S0,teacher_state,D1_lp8,linear,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,9.54481169372996,1.8898777198584913,2.015351461156865,9.13620002849979
S0,teacher_state,D1_lp8,linear,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,9.5608280357861,2.121432871732407,2.198353936373827,9.059591341282255
S0,teacher_state,D1_lp8,linear,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,9.761398115861287,2.0915972032019337,2.3186195323936505,9.24846569869299
S0,teacher_state,D1_lp8,linear,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,9.650785309188148,2.255456107212239,2.114622327548163,9.142152221677103
S0,teacher_state,D1_lp8,angular,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,11.633063809997532,7.133308778411659,8.892462686493527,2.3169347959383266
S0,teacher_state,D1_lp8,angular,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,10.83408686501502,6.49380757263985,8.39051430392751,2.1925261968341854
S0,teacher_state,D1_lp8,angular,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,11.222024187886161,6.8491569956971885,8.618417624532634,2.1784749185931847
S0,teacher_state,D1_lp8,angular,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,11.941114594276367,7.28231733923465,9.130539415213605,2.4882367072996128
S0,teacher_state,D1_lp8,angular,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,12.052999996825548,7.645712204129832,9.07518763156968,2.1116020616824356
S0,teacher_state,D1_lp12,linear,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,10.16022437015362,2.4733616335112973,2.7016543031339038,9.47700931244113
S0,teacher_state,D1_lp12,linear,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,9.73566445774376,2.176502832502584,2.3260424016064594,9.19975676851362
S0,teacher_state,D1_lp12,linear,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,9.727816108579942,2.376573493245792,2.442098846981898,9.111446531430593
S0,teacher_state,D1_lp12,linear,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,9.952061292836706,2.4128565254353176,2.568502404908296,9.307225298660343
S0,teacher_state,D1_lp12,linear,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,9.817874904566375,2.5118253584051087,2.368075401641123,9.19095315528969
S0,teacher_state,D1_lp12,angular,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,16.03017805327071,10.205983272356914,12.039428663438274,2.80297544083313
S0,teacher_state,D1_lp12,angular,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,15.282313943118103,9.54164831322259,11.670994528567508,2.5087753261194536
S0,teacher_state,D1_lp12,angular,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,15.287218746195181,9.5559142404507,11.665527470112549,2.5097866178666246
S0,teacher_state,D1_lp12,angular,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,16.751793466858743,10.282235690234447,12.908381544946586,2.8760910028791873
S0,teacher_state,D1_lp12,angular,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,16.687930799327304,10.597943748837116,12.641298428159946,2.5235286227467366
S1,teacher_state,D0_raw,linear,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,4.48460042564944,2.045452054629012,2.130574704888967,3.374673065177778
S1,teacher_state,D0_raw,linear,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,4.109743127611013,1.8024823983550662,1.8846389952068994,3.176347215956034
S1,teacher_state,D0_raw,linear,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,4.193802632831738,1.9671937072881862,1.939582030123038,3.155336905874867
S1,teacher_state,D0_raw,linear,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,4.290212351319617,2.0179971698940364,1.9867130162420044,3.2228218741980843
S1,teacher_state,D0_raw,linear,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,4.239916197688069,1.9677547319822195,1.925865479394439,3.2242631458142594
S1,teacher_state,D0_raw,angular,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,25.07522888221432,19.734049773984665,14.880584137458722,4.231146268015651
S1,teacher_state,D0_raw,angular,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,23.11395150317499,17.71693746510271,14.374477052678397,3.706654881532352
S1,teacher_state,D0_raw,angular,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,23.97988121695984,18.75351960690903,14.421244239833412,3.920193886512951
S1,teacher_state,D0_raw,angular,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,25.332300647609177,19.525865818661188,15.570343349935277,4.246225158611507
S1,teacher_state,D0_raw,angular,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,26.319455448314116,21.32065111678339,14.813616064588842,4.324390146962946
S1,teacher_state,D1_lp6,linear,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,2.8716346859376545,1.0981888912398083,1.1269326317232198,2.402142746007221
S1,teacher_state,D1_lp6,linear,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,2.6495060596660505,0.8888347457137644,0.9135950528038644,2.32275681777309
S1,teacher_state,D1_lp6,linear,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,2.746840633283248,1.0702985098438866,1.048119918275667,2.3023985757022345
S1,teacher_state,D1_lp6,linear,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,2.7273431153754326,1.0375847609435267,1.0811856866542233,2.278783851930141
S1,teacher_state,D1_lp6,linear,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,2.8303096228988505,1.0844370036427229,1.060271121432384,2.389659828440178
S1,teacher_state,D1_lp6,angular,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,14.051044362017292,9.418236988620109,10.230496848609272,2.01633179813286
S1,teacher_state,D1_lp6,angular,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,13.625617144949228,8.889857509741834,10.142710307242755,1.9373444868098932
S1,teacher_state,D1_lp6,angular,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,14.087518285744522,9.455619607209691,10.264549470571025,1.9205346810557873
S1,teacher_state,D1_lp6,angular,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,14.791102870566428,9.960174405383114,10.72561764657139,2.129031714556172
S1,teacher_state,D1_lp6,angular,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,15.5891333862757,11.507858033143009,10.327849670779052,1.9813642779434992
S1,teacher_state,D1_lp8,linear,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,3.197988832952807,1.2970585720635213,1.3652240956348958,2.5847504337992238
S1,teacher_state,D1_lp8,linear,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,2.918344844742567,1.13297125774608,1.1539270473200893,2.429313716138762
S1,teacher_state,D1_lp8,linear,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,2.999685155699355,1.2838879507372822,1.259678604255333,2.4006150414541736
S1,teacher_state,D1_lp8,linear,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,3.071621616087112,1.303088116290989,1.351657590395924,2.4310167568159393
S1,teacher_state,D1_lp8,linear,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,3.100418658357752,1.3330948039591164,1.2837241523494318,2.487469879501021
S1,teacher_state,D1_lp8,angular,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,13.414130030100717,9.139216245371303,9.550523501884078,2.280594598948048
S1,teacher_state,D1_lp8,angular,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,12.790888676426354,8.464295443149185,9.349695125825914,2.1320733659804083
S1,teacher_state,D1_lp8,angular,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,13.165455166981902,8.993052255242459,9.37615681904319,2.1311743694495946
S1,teacher_state,D1_lp8,angular,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,13.998135544477796,9.29613341215609,10.19599567629699,2.3603759179209054
S1,teacher_state,D1_lp8,angular,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,14.163465840481832,10.321717597936386,9.468996226887153,2.0985759214626696
S1,teacher_state,D1_lp12,linear,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,3.72862710692444,1.672619624105575,1.77377707811704,2.8211200918598305
S1,teacher_state,D1_lp12,linear,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,3.445763826023196,1.504533058026149,1.5693838379499672,2.6733318146496385
S1,teacher_state,D1_lp12,linear,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,3.454833902093405,1.6159902089941378,1.5922861844256984,2.605585853963764
S1,teacher_state,D1_lp12,linear,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,3.6024878674524623,1.7106401175902277,1.6857455502661907,2.68512404983286
S1,teacher_state,D1_lp12,linear,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,3.565952560986845,1.672960228296544,1.615328349398518,2.7033194530754363
S1,teacher_state,D1_lp12,angular,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,7841,15.934436136230374,10.95676506528582,11.225860382766319,2.799216488657896
S1,teacher_state,D1_lp12,angular,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,7391,15.245945679803226,10.197612956902208,11.061799300563779,2.4666061474782603
S1,teacher_state,D1_lp12,angular,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,9475,15.218380755360197,10.378117645642709,10.851034595150516,2.4796844886323157
S1,teacher_state,D1_lp12,angular,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,7586,16.538009181750837,10.766347732039634,12.24180615616853,2.7802313290937435
S1,teacher_state,D1_lp12,angular,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,7792,16.192673979856064,11.308607889329167,11.324575670425517,2.4641558611654824
