channel,horizon_s,axis,sign_agreement,absolute_gain_mean,gain_seed_std,near_zero_fraction,n_flights,n_origins
drive,0.5,vz,0.9247859983154101,4.65909939959596,0.7183274287757324,0.0,17,227
drive,1.0,p,0.7084361716714658,8.435930576948886,4.410269157838249,0.0,17,227
drive,1.0,q,0.8200689016865488,16.983511880784594,5.117877607693109,0.0,17,227
drive,1.0,r,0.7591969305204599,1.3620422760573159,0.636781900628027,0.0,17,227
drive,1.0,vx,0.8135452782511606,3.917341968605094,1.1584168043700138,0.0,17,227
drive,1.0,vy,0.7988393958982194,3.1236128352151447,1.131791467135762,0.0,17,227
drive,1.0,vz,0.9101596932479286,9.979269719308647,2.111258351865198,0.0,17,227
rudder,0.1,p,0.7576386848445672,0.8804938293552957,0.34937449801591025,0.0,17,227
rudder,0.1,q,0.6033077216900746,0.18837867756048596,0.13138036963650815,0.0,17,227
rudder,0.1,r,0.8332055199702258,0.13932206349634343,0.06986384105491883,0.0,17,227
rudder,0.1,vx,0.5442824332530215,0.07427809495785642,0.052012550538140155,0.0,17,227
rudder,0.1,vy,0.713325889796478,0.08410436794642899,0.048994574663349055,0.0,17,227
rudder,0.1,vz,0.6797582319641142,0.13845752675407424,0.07338806968210142,0.0,17,227
rudder,0.2,p,0.8152178703649292,0.5855090559461557,0.21044599828391983,0.0,17,227
rudder,0.2,q,0.5245962370962372,0.2236933351703072,0.17057436136809573,0.0,17,227
rudder,0.2,r,0.5676693404634581,0.15534383765474602,0.10171072571753238,0.0,17,227
rudder,0.2,vx,0.6234033123739006,0.1535470660741203,0.07937921360093228,0.0,17,227
rudder,0.2,vy,0.7247473115120174,0.18809611477986576,0.07928972568445398,0.0,17,227
rudder,0.2,vz,0.8362759789230377,0.23703264168089913,0.11369733658379474,0.0,17,227
rudder,0.5,p,0.4971361971361971,0.2422709985876822,0.20194761537153957,0.003676470588235294,17,227
rudder,0.5,q,0.5693441362559009,0.2622711665049677,0.18737350850613602,0.0,17,227
rudder,0.5,r,0.955003085150144,0.37067139738378124,0.1073700402273061,0.0,17,227
rudder,0.5,vx,0.6932601712013478,0.336768328261722,0.18341784926545812,0.0,17,227
rudder,0.5,vy,0.8311291649526944,0.45299623330102906,0.17428979728531796,0.0,17,227
rudder,0.5,vz,0.8223766429648783,0.44084411834899406,0.19749327864389776,0.0,17,227
rudder,1.0,p,0.6899042134336252,0.4662511874026239,0.2563857891121652,0.0,17,227
rudder,1.0,q,0.574579097373215,0.4857633737636422,0.3435943259257256,0.0,17,227
rudder,1.0,r,0.9807006718771424,0.38494507518064064,0.11128923426462445,0.0,17,227
rudder,1.0,vx,0.7442241581947464,0.8386633959964986,0.41168514393252226,0.0,17,227
rudder,1.0,vy,0.8728629213923332,1.1371381435059122,0.4630890543419656,0.0,17,227
rudder,1.0,vz,0.8161282345105875,0.6610000073912329,0.28061282478972943,0.0,17,227
